eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,DaimlerChrysler,Germany,Automobiles & parts (335),"5,234.00",-7.3,"152,809",2.0,3.4,20.1,4.4,3.3,366,-5.4
2,GlaxoSmithKline,UK,Pharmaceuticals (4577),"5,130.88",10.2,"34,471",7.2,14.9,6.4,4.6,33.9,102,2.3
3,Siemens  ,Germany,Electrical components & equipment (2733),"5,024.00",-2.5,"87,325",15.7,5.8,4.7,7.0,4.1,473,7.5
4,Sanofi-Aventis,France,Pharmaceuticals (4577),"4,404.00",8.9,"28,373",3.9,15.5,4.4,,16.7,100,3.2
5,Volkswagen,Germany,Automobiles & parts (335),"4,240.00",4.0,"105,466",10.7,4.0,8.0,13.0,2.1,308,-4.8
6,Nokia,Finland,Telecommunications equipment (9578),"3,712.00",2.3,"41,121",20.3,9.0,2.0,1.8,13.4,65,14.8
7,Robert Bosch,Germany,Automobiles & parts (335),"3,398.00",15.9,"43,684",4.0,7.8,6.1,7.0,5.3,258,2.7
8,BMW,Germany,Automobiles & parts (335),"3,208.00",3.0,"48,999",5.0,6.5,22.8,20.6,8.6,97,-6.1
9,Ericsson,Sweden,Telecommunications equipment (9578),"2,976.09",4.8,"19,702",17.1,15.1,2.2,2.2,18.6,64,19.0
10,AstraZeneca,UK,Pharmaceuticals (4577),"2,959.00",15.5,"20,077",10.5,14.7,3.0,3.5,31.0,67,2.6
11,EADS,The Netherlands,Aerospace & defence (271),"2,869.00",21.2,"39,434",15.3,7.3,5.8,6.9,0.3,117,3.2
12,Bayer,Germany,Chemicals (135),"2,457.00",30.3,"31,801",16.1,7.7,5.0,4.7,9.0,97,3.7
13,Renault,France,Automobiles & parts (335),"2,400.00",6.0,"40,543",0.3,5.9,8.8,8.0,7.6,134,6.0
14,Peugeot (PSA),France,Automobiles & parts (335),"2,175.00",1.1,"56,594",0.6,3.8,4.7,5.2,0.4,212,1.6
15,Alcatel-Lucent,France,Telecommunications equipment (9578),"1,988.00",10.9,"14,381",9.5,13.8,2.0,2.0,-0.9,89,54.9
16,Philips Electronics,The Netherlands,Leisure goods (374),"1,948.00",-16.6,"30,851",1.5,6.3,2.3,3.2,3.6,161,16.9
17,Finmeccanica,Italy,Aerospace & defence (271),"1,869.00",7.0,"11,624",4.1,16.1,4.9,3.2,6.8,57,7.2
18,BAE Systems,UK,Aerospace & defence (271),"1,852.28",-13.9,"18,305",11.9,10.1,4.1,2.9,7.9,79,6.8
19,BT,UK,Fixed line telecommunications (653),"1,660.82",53.9,"30,015",3.6,5.5,12.2,13.9,12.6,105,2.1
20,Boehringer Ingelheim  ,Germany,Pharmaceuticals (4577),"1,574.00",15.7,"10,574",10.9,14.9,5.6,5.6,20.4,38,2.7
21,BASF,Germany,Chemicals (135),"1,301.30",19.8,"52,610",23.1,2.5,7.7,5.1,12.8,89,10.4
22,SAP  ,Germany,Software (9537),"1,298.12",19.2,"9,402",10.5,13.8,3.3,2.8,27.2,38,10.1
