eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
1,VOLKSWAGEN,Germany,Automobiles & Parts,9515.0,32.1,4.9,193000.0,21.4,10493.0,29.8,5.4,8333.0,-4.8,4.3,525,31.3
2,DAIMLER,Germany,Automobiles & Parts,5639.0,0.2,4.9,114000.0,6.5,4827.0,16.1,4.2,9103.0,1.9,8.0,275,1.4
3,ROBERT BOSCH,Germany,Automobiles & Parts,4924.0,16.1,9.4,52464.0,1.9,,  ,0.0,2397.0,-30.8,4.6,306,1.1
4,SANOFI-AVENTIS,France,Pharmaceuticals & Biotechnology,4909.0,2.4,14.0,34947.0,4.7,1612.0,-9.5,4.6,6529.0,14.2,18.7,112,-1.5
5,SIEMENS,Germany,Electronic & Electrical Equipment,4572.0,6.9,5.8,78296.0,6.9,2206.0,2.0,2.8,6949.0,-21.9,8.9,410,2.0
6,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology,4229.0,-3.5,13.4,31611.4,-3.5,1257.0,13.9,4.0,8913.8,-0.6,28.2,99,1.3
7,NOKIA,Finland,Technology Hardware & Equipment,4169.0,-15.1,13.8,30176.0,-21.9,461.0,-22.8,1.5,-2382.0,122.0,-7.9,98,-24.8
8,BMW,Germany,Automobiles & Parts,3952.0,17.2,5.1,76848.0,11.7,5236.0,42.3,6.8,8878.0,5.7,11.6,106,5.6
9,ERICSSON,Sweden,Technology Hardware & Equipment,3862.7,1.7,14.6,26541.4,0.4,632.6,8.7,2.4,276.3,-86.6,1.0,110,5.5
10,EADS,The Netherlands,Aerospace & Defence,3630.0,11.7,6.4,56480.0,15.0,3270.0,48.8,5.8,2120.0,30.7,3.8,140,5.5
11,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology,3375.0,-5.6,15.9,21201.3,-16.7,509.3,-19.9,2.4,6045.9,-37.7,28.5,52,-9.6
12,FIAT,Italy,Automobiles & Parts,3295.0,51.5,3.9,83957.0,41.0,7534.0,36.3,9.0,3921.0,13.9,4.7,215,9.0
13,BAYER,Germany,Pharmaceuticals & Biotechnology,3182.0,4.5,8.0,39760.0,8.8,1929.0,19.4,4.9,3763.0,-5.2,9.5,111,-1.2
14,BOEHRINGER INGELHEIM,Germany,Pharmaceuticals & Biotechnology,2795.0,11.1,19.0,14691.0,11.5,,  ,0.0,2070.0,-6.9,14.1,46,4.8
15,PEUGEOT (PSA),France,Automobiles & Parts,2481.0,-5.8,4.5,55446.0,-7.5,2279.0,1.2,4.1,-5087.0,-692.9,-9.2,204,-2.3
16,ALCATEL-LUCENT,France,Technology Hardware & Equipment,2437.0,-3.1,16.9,14446.0,-5.7,582.0,4.3,4.0,-1687.0,-1541.9,-11.7,72,-4.8
17,VOLVO,Sweden,Industrial Engineering,2351.3,15.2,6.6,35381.7,-2.2,1088.1,12.6,3.1,2058.8,-34.9,5.8,102,-0.2
18,SAP,Germany,Software & Computer Services,2253.0,16.2,13.9,16223.0,14.0,541.0,21.6,3.3,4070.0,-16.3,25.1,64,15.5
19,PHILIPS,The Netherlands,General Industrials,1937.0,9.6,7.8,24788.0,9.8,675.0,3.4,2.7,1030.0,-482.9,4.2,118,-5.7
20,RENAULT,France,Automobiles & Parts,1889.0,-8.5,4.6,41270.0,-3.2,2847.0,16.0,6.9,1028.0,-7.5,2.5,127,-1.0
21,CONTINENTAL,Germany,Automobiles & Parts,1826.9,7.9,5.6,32736.2,7.3,2017.6,17.2,6.2,3107.8,19.7,9.5,170,3.6
22,FINMECCANICA,Italy,Aerospace & Defence,1812.0,-7.6,10.5,17218.0,-0.6,848.0,-7.9,4.9,-416.0,-81.6,-2.4,67,-4.4
23,BASF,Germany,Chemicals,1766.0,8.9,2.2,78729.0,7.1,4149.0,21.7,5.3,9616.0,7.6,12.2,113,1.9
24,STMICROELECTRONICS,The Netherlands,Technology Hardware & Equipment,1762.9,7.4,27.4,6437.0,-12.8,341.8,-64.1,5.3,-1777.3,-911.4,-27.6,48,-2.0
25,MERCK DE,Germany,Pharmaceuticals & Biotechnology,1511.3,-0.4,13.5,11172.9,8.7,329.1,-10.2,2.9,957.6,-10.6,8.6,39,-4.5
26,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology,1397.4,16.0,13.4,10450.0,17.6,451.6,9.7,4.3,3947.4,31.7,37.8,34,6.7
27,TELEFONICA,Spain,Fixed Line Telecommunications,1113.0,2.2,1.8,62356.0,-0.8,9481.0,4.4,15.2,11357.0,4.0,18.2,133,-54.2
28,SAFRAN,France,Aerospace & Defence,1109.0,31.4,8.1,13615.0,16.8,419.0,19.0,3.1,1406.0,57.1,10.3,63,4.6
29,BANCO SANTANDER,Spain,Banks,1098.0,-22.7,2.4,45394.0,0.2,,  ,0.0,3549.0,-55.3,7.8,189,-2.4
30,ROYAL BANK OF SCOTLAND,UK,Banks,1087.2,-13.4,4.4,24660.3,-10.4,,  ,0.0,-6177.3,334.0,-25.0,137,-6.5
